강릉, ,20 이상, , ,12.7,0.4,12.6, , ,43,동북동,,1018.6
강진군, ,10.4, , ,10.9,0.3,10.2, , ,48,남남서,,1018.0
강화,구름많음,20 이상,6,6,9.2,-0.4,8.2, , ,51,남동,,1019.6
거제, ,20 이상, , ,11.7,0.1,11.7, , ,45,서북서,,1020.9
거창,흐림,20 이상,10,1,14.2,-12.9,13.4, , ,14,남동,,1017.7
경주시, ,20 이상, , ,14.5,-13.6,14.3, , ,13,동북동,,1019.2
고산, ,20 이상, , ,12.5,4.4, , , ,58, ,,1019.1
고창, ,19.8, , ,13.4,-5.2,11.9, , ,27,서남서,,1018.7
고창군, ,20 이상, , ,13.1,-3.2,13.0, , ,32,남서,,1018.5
고흥, ,20 이상, , ,10.9,-8.3,9.9, , ,25,남서,,1020.0
광양시, ,8.1, , ,13.1,-9.4,12.9, , ,20,남,,1020.0
광주,구름많음,20 이상,8,8,14.9,-11.5,14.2, , ,15,서남서,,1018.5
구미, ,20 이상, , ,14.3,-12.0,14.3, , ,15,동,,1018.9
군산, ,20 이상, , ,10.7,-5.3,10.2, , ,32,서북서,,1019.8
금산, ,20 이상, , ,14.1,-11.4,14.1, , ,16,북북동,,1017.5
김해시, ,20 이상, , ,12.6,-1.0,11.5, , ,39,남남동,,1020.2
남원, ,20 이상, , ,14.5,-11.8,14.4, , ,15,남동,,1018.4
남해, ,20 이상, , ,12.5,-9.2,12.5, , ,21,남남동,,1020.0
대관령, ,10.1, , ,6.4,-13.2,2.9, , ,23,서북서,,1019.1
대구,구름많음,20 이상,8,0,14.0,-11.4,14.0, , ,16,서북서,,1018.9
대전,흐림,20 이상,9,3,13.4,-9.1,13.3, , ,20,북동,,1018.7
동두천, ,20 이상, , ,10.4,-0.4,9.8, , ,47,남남동,,1019.0
동해, ,20 이상, , ,10.7,-2.3,10.1, , ,40,남남동,,1019.3
목포,흐림,20 이상,10,10,10.9,-3.6,9.4, , ,36,남,,1019.4
문경, ,20 이상, , ,12.6,-6.4,12.6, , ,26,동남동,,1018.0
밀양,구름많음,20 이상,8,8,15.4,-13.9,15.4, , ,12,남남동,,1018.8
백령도,구름많음,20 이상,7,7,6.1,4.0,2.4, , ,87,남남동,,1016.9
보령, ,20 이상, , ,11.9,-16.6,11.4, , ,12,남서,,1018.2
보성군, ,20 이상, , ,11.8,-5.2,10.0, , ,30,남남서,,1019.6
보은, ,20 이상, , ,12.0,-10.9,12.0, , ,19,정온,,1018.3
봉화, ,20 이상, , ,10.4,-6.9,9.7, , ,29,남남서,,1018.3
부산,흐림,20 이상,9,9,11.9,4.3,10.6, , ,60,남남동,,1019.7
부안, ,20 이상, , ,10.9,-4.7,9.6, , ,33,서북서,,1018.7
부여, ,20 이상, , ,13.2,-9.9,13.2, , ,19,남동,,1018.5
북강릉,흐림,20 이상,9,3,10.3,-0.5,9.4, , ,47,남동,,1018.1
북창원, ,20 이상, , ,15.3,-8.2,15.1, , ,19,남,,1019.5
북춘천,흐림,18.0,9,2,10.0,-2.3,8.9, , ,42,남남서,,1019.5
산청, ,20 이상, , ,13.6,-12.6,12.5, , ,15,동북동,,1019.1
상주, ,20 이상, , ,13.8,-8.1,13.8, , ,21,동,,1018.0
